
[00:00:00.000 --> 00:00:09.000]  好,今天我們來到大使命經文的最後一部分
[00:00:09.000 --> 00:00:17.000]  在聆聽主導會先,我們一起同心低頭禱告
[00:00:17.000 --> 00:00:24.000]  慈悲的天父,多謝你,讓我們可以一起歡喜快樂來到你的跟前
[00:00:24.000 --> 00:00:28.000]  可以同心學習主義的道理,我們再次獻上感謝
[00:00:28.000 --> 00:00:33.000]  感謝你讓我們在過去這兩個多月的日子裏面
[00:00:33.000 --> 00:00:37.000]  我們集中去看登山寶訓的經文
[00:00:37.000 --> 00:00:45.000]  求主的幫助,讓我們對登山寶訓有更全面並且準確的拿捏
[00:00:45.000 --> 00:00:54.000]  好讓我們更加明白主義的心思,怎樣藉著你的僕人馬太的記載
[00:00:54.000 --> 00:00:58.000]  讓我們體貼上帝你的心意
[00:00:58.000 --> 00:01:01.000]  我們再次將今天這段聽到的時間交上
[00:01:01.000 --> 00:01:07.000]  讓我們在這段經文裏面再次認識你是怎樣的位主
[00:01:07.000 --> 00:01:09.000]  認識你的屬性
[00:01:09.000 --> 00:01:14.000]  我們的同心禱告,奉靠主耶穌基督得勝的名字以求
[00:01:14.000 --> 00:01:16.000]  阿們
[00:01:16.000 --> 00:01:24.000]  今天會和大家去到馬太福音最後這一個登山寶訓的最後兩節的經文
[00:01:24.000 --> 00:01:27.000]  馬太福音第七章,第28和第29節
[00:01:27.000 --> 00:01:30.000]  好多弟兄姊妹都覺得好奇怪
[00:01:30.000 --> 00:01:33.000]  為什麼上個主日不索性講完這兩節經文
[00:01:33.000 --> 00:01:36.000]  特別要開一堂的主日來講呢
[00:01:36.000 --> 00:01:43.000]  因為這兩節經文是一兩節非比尋常的註解
[00:01:43.000 --> 00:01:49.000]  很多時候讀登山寶訓,甚至讀聖經的時候
[00:01:49.000 --> 00:01:53.000]  我們很容易漏過這段的題目
[00:01:53.000 --> 00:01:55.000]  這段經文其實很簡單
[00:01:55.000 --> 00:01:58.000]  如果大家剛才聽過弟兄讀的時候
[00:01:58.000 --> 00:02:02.000]  都已經基本上知道這段經文是講些什麼
[00:02:02.000 --> 00:02:05.000]  如果大家有聖經的,我們再打開
[00:02:05.000 --> 00:02:08.000]  我們一起讀多一次
[00:02:08.000 --> 00:02:11.000]  好簡單的兩節經文
[00:02:11.000 --> 00:02:16.000]  馬太福音第七章,第28至第29節
[00:02:16.000 --> 00:02:21.000]  好,如果找到之後我們一起用和合本版本一起讀
[00:02:21.000 --> 00:02:23.000]  好嗎
[00:02:23.000 --> 00:02:26.000]  好,找到之後我們一起讀
[00:02:26.000 --> 00:02:29.000]  耶穌講完了這些話
[00:02:29.000 --> 00:02:32.000]  眾人都希其他的教訓
[00:02:32.000 --> 00:02:35.000]  因為他教訓他們
[00:02:35.000 --> 00:02:37.000]  正像有權並的人
[00:02:37.000 --> 00:02:40.000]  不像他們的民事
[00:02:40.000 --> 00:02:45.000]  人的心思其實有很多不同的狀態
[00:02:45.000 --> 00:02:49.000]  不過很多時候人的心思卻是藏留在一種
[00:02:49.000 --> 00:02:53.000]  充滿矛盾的狀態裡面
