
[00:00:00.000 --> 00:00:02.140]  剛才的思綱很好
[00:00:02.140 --> 00:00:03.640]  原來憑著信
[00:00:03.640 --> 00:00:07.440]  其實我們真的做到很多很偉大的事情
[00:00:07.440 --> 00:00:09.140]  裡面有很多例子
[00:00:09.140 --> 00:00:10.540]  說到阿巴拉罕
[00:00:10.540 --> 00:00:12.380]  說到阿閣
[00:00:12.380 --> 00:00:15.980]  但是對我們一般人來說
[00:00:15.980 --> 00:00:17.320]  我們經常都覺得
[00:00:17.320 --> 00:00:21.220]  好像信心跟我們的行為有些距離
[00:00:21.220 --> 00:00:22.620]  所以大家都知道
[00:00:22.620 --> 00:00:25.720]  在阿閣書裡面的經文那裡
[00:00:25.720 --> 00:00:27.560]  很多時候讀到的時候
[00:00:27.560 --> 00:00:31.560]  有的第一子會就會問
[00:00:31.560 --> 00:00:32.940]  阿閣這樣說
[00:00:32.940 --> 00:00:36.640]  是否跟保羅有點對立?
[00:00:36.640 --> 00:00:37.680]  大家都知道
[00:00:37.680 --> 00:00:39.680]  我們新教的基礎是怎樣?
[00:00:39.680 --> 00:00:41.800]  「因信清義」
[00:00:41.800 --> 00:00:43.220]  是不是因信清義?
[00:00:43.220 --> 00:00:44.940]  憑著信就行了
[00:00:44.940 --> 00:00:46.640]  所以在羅馬書
[00:00:46.640 --> 00:00:49.020]  保羅說到人清義是因著信
[00:00:49.020 --> 00:00:51.680]  不是因著律法或者行為
[00:00:51.680 --> 00:00:53.920]  阿閣書其實這一段
[00:00:53.920 --> 00:00:56.360]  後面正正有說到
[00:00:56.360 --> 00:00:59.160]  人清義是因著行為
[00:00:59.160 --> 00:01:01.100]  不是單單因著信
[00:01:01.100 --> 00:01:02.560]  這兩方面來說
[00:01:02.560 --> 00:01:04.840]  是不是有點矛盾呢?
[00:01:04.840 --> 00:01:08.000]  大家可能對聖經都很有認識
[00:01:08.000 --> 00:01:10.440]  特別要研究聖經的時候
[00:01:10.440 --> 00:01:11.640]  最重要的
[00:01:11.640 --> 00:01:14.600]  就是我們不可以「電章取義」
[00:01:14.600 --> 00:01:16.280]  我領取了一句說話
[00:01:16.280 --> 00:01:19.580]  咦,你們兩個說自相矛盾
[00:01:19.580 --> 00:01:22.680]  其實這裡為什麼看起來是矛盾
[00:01:22.680 --> 00:01:24.020]  但是不是矛盾
[00:01:24.020 --> 00:01:25.820]  主要有兩個原因
[00:01:25.820 --> 00:01:26.960]  第一個原因
[00:01:26.960 --> 00:01:29.360]  當我們很多時候看聖經的時候
[00:01:29.360 --> 00:01:31.080]  一定要看上名下利
[00:01:31.080 --> 00:01:33.520]  以及看背景
[00:01:33.520 --> 00:01:35.800]  保羅在羅馬書說的時候
[00:01:35.800 --> 00:01:38.500]  他主要是跟羅馬人說
[00:01:38.500 --> 00:01:40.240]  那羅馬人是什麼人呢?
[00:01:40.240 --> 00:01:42.200]  他們是外邦人
[00:01:42.200 --> 00:01:47.340]  由外邦人來相信基督的時候
[00:01:47.340 --> 00:01:49.440]  他們很多時候都會跟猶太
[00:01:49.440 --> 00:01:53.440]  他們很多的一些傳統
[00:01:53.440 --> 00:01:55.520]  他們走開的東西
[00:01:55.520 --> 00:01:57.440]  有很多的混亂
[00:01:57.440 --> 00:02:00.720]  所以保羅就是要跟他們強調
[00:02:00.720 --> 00:02:01.720]  你不要搞
[00:02:01.720 --> 00:02:04.420]  想那麼多有金色有國例
[00:02:04.420 --> 00:02:08.020]  最重要的是你相信
[00:02:08.020 --> 00:02:13.760]  但是亞國面對那群群眾的背景不同
[00:02:13.760 --> 00:02:18.000]  亞國這群已經是大部分信了的猶太人
[00:02:18.000 --> 00:02:20.700]  其實在《經文》剛才讀完之前
[00:02:20.700 --> 00:02:22.000]  他有說到
[00:02:22.000 --> 00:02:25.800]  因為這個教會多了很多新的人
[00:02:25.800 --> 00:02:27.680]  各個階層都有
[00:02:27.680 --> 00:02:29.080]  有些有錢的
[00:02:29.080 --> 00:02:30.320]  有些窮的
[00:02:30.320 --> 00:02:32.480]  開始看到有些有錢的人
[00:02:32.480 --> 00:02:35.020]  或者他們自己本身
[00:02:35.020 --> 00:02:37.320]  可能對有錢的人比較好
[00:02:37.320 --> 00:02:39.460]  對窮的人就可能
[00:02:39.460 --> 00:02:43.700]  你們隨便便坐在地上等等
[00:02:43.700 --> 00:02:45.800]  所以大家要明白
[00:02:45.800 --> 00:02:49.360]  背景或者他們面對的群眾都不同
[00:02:49.360 --> 00:02:51.000]  你們都會的,是不是?
[00:02:51.000 --> 00:02:54.000]  你們跟不同的人都會說不同的話
[00:02:54.000 --> 00:02:56.500]  不是啊,你這個人這樣教兩面人
[00:02:56.500 --> 00:02:57.800]  絕對不是
[00:02:57.800 --> 00:02:59.640]  譬如我有兩個兒子
[00:02:59.640 --> 00:03:05.180]  大兒子性格比較保守和節儉
[00:03:05.180 --> 00:03:07.980]  所以我跟他說理財的時候
[00:03:07.980 --> 00:03:10.720]  我就會覺得你可以大膽一點
[00:03:10.720 --> 00:03:12.420]  想得遠一點
[00:03:12.420 --> 00:03:15.960]  不用那麼沽汗
[00:03:15.960 --> 00:03:18.520]  但是我小兒子是反過來的
[00:03:18.520 --> 00:03:20.660]  他是一個大花童
[00:03:20.660 --> 00:03:22.860]  他花錢就不抹腳的那種
[00:03:22.860 --> 00:03:25.660]  我跟他說的東西又很不同
[00:03:25.660 --> 00:03:26.900]  我就要經常跟他說
[00:03:26.900 --> 00:03:29.300]  你要想想怎麼處蓄
[00:03:29.300 --> 00:03:34.180]  怎麼樣是以防將來不時之需
[00:03:34.180 --> 00:03:37.840]  你說Natalie你說話是不是很自相矛盾
[00:03:37.840 --> 00:03:39.140]  其實絕對不是
[00:03:39.140 --> 00:03:40.880]  神跟我們都是
[00:03:40.880 --> 00:03:44.220]  神因應我們本身不同的背景
[00:03:44.220 --> 00:03:46.320]  神會有一個強調
[00:03:46.320 --> 00:03:48.760]  不是說你做一個不做一個
[00:03:48.760 --> 00:03:50.720]  所以很多時候我們在聖經看到
[00:03:50.720 --> 00:03:53.160]  保羅所說的東西和雅各所說的東西
[00:03:53.160 --> 00:03:54.900]  它們不是對立
[00:03:54.900 --> 00:03:57.700]  而是它們因為面對的群眾不同
[00:03:57.700 --> 00:04:00.760]  所以它們要有不同的強調
[00:04:00.760 --> 00:04:04.600]  另一個原因看起來不同的原因
[00:04:04.600 --> 00:04:08.300]  就是本身其實"清義"是指什麼呢?
[00:04:08.300 --> 00:04:11.580]  保羅在他《羅馬書》所說的"清義"
[00:04:11.580 --> 00:04:15.540]  就是最初在上帝面前宣告無罪
[00:04:15.540 --> 00:04:18.380]  因為其實我們怎樣可以跟神
[00:04:18.380 --> 00:04:20.020]  有一個關係
[00:04:20.020 --> 00:04:22.080]  耶穌已經做了可以做的事
[00:04:22.080 --> 00:04:24.360]  所以我們要開始這個關係的時候
[00:04:24.360 --> 00:04:27.360]  我們憑信已經可以"清義"
[00:04:27.360 --> 00:04:29.900]  雅各在這裡所說的"清義"
[00:04:29.900 --> 00:04:32.740]  是說到最後審判之中
[00:04:32.740 --> 00:04:35.900]  宣佈無罪的最終判決
[00:04:35.900 --> 00:04:37.100]  就算我們信與不信
[00:04:37.100 --> 00:04:39.640]  我們最後都有一個審判
[00:04:39.640 --> 00:04:42.700]  我們就算進了神的家裡面
[00:04:42.700 --> 00:04:45.680]  我們有些真的做得好的
[00:04:45.680 --> 00:04:48.240]  有些是做得不好的
[00:04:48.240 --> 00:04:56.220]  就像很多人現在喜歡一個愛國的國籍
[00:04:56.220 --> 00:04:59.560]  總之憑信已經進入這個國籍了
[00:04:59.560 --> 00:05:00.920]  但是進入之後
[00:05:00.920 --> 00:05:03.300]  你可不可以做到一個好的公民呢?
[00:05:03.300 --> 00:05:05.600]  你可不可以做到一些事情
[00:05:05.600 --> 00:05:10.700]  這個政府真的看到
[00:05:10.700 --> 00:05:12.040]  你進來我們的公民
[00:05:12.040 --> 00:05:16.580]  你發揮到我們一個最好的公民的榜樣
[00:05:16.580 --> 00:05:18.880]  所以他們說的"清義"
[00:05:18.880 --> 00:05:21.540]  其實說的是不同的東西
[00:05:21.540 --> 00:05:24.380]  保祿是說的是"入門"
[00:05:24.380 --> 00:05:26.780]  而雅各說的是你進了之後
[00:05:26.780 --> 00:05:31.420]  你怎樣可以最後在神裡面
[00:05:31.420 --> 00:05:37.900]  看到你的行為才可以成全你當初的信心
[00:05:37.900 --> 00:05:40.460]  所以中間其實他們是隔了
[00:05:40.460 --> 00:05:44.940]  一段需要成長和成聖的過程
[00:05:44.940 --> 00:05:47.300]  到最後馬丁路德
[00:05:47.300 --> 00:05:50.100]  雖然你說你不是說"恩信清義"
[00:05:50.100 --> 00:05:52.680]  其實在他裡面來說
[00:05:52.680 --> 00:05:54.140]  你相信了
[00:05:54.140 --> 00:05:58.780]  其實行為跟出來是必然的一件事
[00:05:58.780 --> 00:06:01.020]  他說信仰是強大的
[00:06:01.020 --> 00:06:03.780]  活生生、忙碌和活躍
[00:06:03.780 --> 00:06:06.020]  不做好事根本是不可能的
[00:06:06.020 --> 00:06:07.320]  如果你有一個真的信心
[00:06:07.320 --> 00:06:09.660]  你自然就會做好事
[00:06:09.660 --> 00:06:11.900]  根本不是問需不需要做
[00:06:11.900 --> 00:06:14.760]  而是在問問題之前你已經做了
[00:06:14.760 --> 00:06:16.460]  所以路德也覺得
[00:06:16.460 --> 00:06:19.000]  其實兩件事是不可以分割的
[00:06:19.000 --> 00:06:20.540]  如果誰不是這樣做的
[00:06:20.540 --> 00:06:22.140]  根本就是不信的人
[00:06:22.140 --> 00:06:23.240]  為什麼呢?
[00:06:23.240 --> 00:06:27.480]  因為你的行為令人看到你的信心裡面
[00:06:27.480 --> 00:06:29.940]  究竟你的信心是什麼
[00:06:29.940 --> 00:06:31.920]  聖經詞也有說
[00:06:31.920 --> 00:06:35.660]  一棵好的樹自然會結好的果子
[00:06:35.660 --> 00:06:39.760]  一個好的生命自然會有好的行為
[00:06:39.760 --> 00:06:41.320]  當然在中間
[00:06:41.320 --> 00:06:47.960]  我們很多人都有成長和成性的過程
[00:06:47.960 --> 00:06:49.640]  所以今天我想說
[00:06:49.640 --> 00:06:53.840]  究竟有什麼令我們有這個距離呢?
[00:06:53.840 --> 00:06:59.540]  而我們又可以怎樣令這個距離縮小呢?
[00:06:59.540 --> 00:07:02.980]  剛才大兄也有跟大家讀過這段經文
[00:07:02.980 --> 00:07:06.960]  他有說到有些人很有需要
[00:07:06.960 --> 00:07:10.180]  我們不可以說平平安安
[00:07:10.180 --> 00:07:14.720]  願你們吃得暖、穿得暖、吃得飽
[00:07:14.720 --> 00:07:17.060]  因為其實很重要就是說
[00:07:17.060 --> 00:07:19.760]  如果你的信心沒有行為
[00:07:19.760 --> 00:07:23.260]  其實跟反映你裡面的信心
[00:07:23.260 --> 00:07:24.640]  要麼就死了
[00:07:24.640 --> 00:07:26.840]  要麼就不太健康
[00:07:26.840 --> 00:07:29.000]  剛剛過去的一個星期
[00:07:29.000 --> 00:07:32.940]  我和我的兒子在外地工作
[00:07:32.940 --> 00:07:36.080]  他跟我說「我最近肚子很痛」
[00:07:36.080 --> 00:07:39.340]  其實他通常都不會跟我說太多
[00:07:39.340 --> 00:07:43.480]  但可能肚子痛會影響他整個生活
[00:07:43.480 --> 00:07:46.760]  當然我在十萬九千里外
[00:07:46.760 --> 00:07:49.860]  也不可以真的照顧他
