
[00:00:00.000 --> 00:00:03.000]  各位來賓
[00:00:03.000 --> 00:00:05.000]  我們今日在這裏一齊
[00:00:05.000 --> 00:00:08.000]  敬拜上帝 聆聽上帝的說話
[00:00:08.000 --> 00:00:12.000]  我們在新的一個年度開始的時候
[00:00:12.000 --> 00:00:15.000]  我們都真的很盼望
[00:00:15.000 --> 00:00:17.000]  我們真的能夠對準上帝
[00:00:17.000 --> 00:00:19.000]  在這個紛亂的世界
[00:00:19.000 --> 00:00:20.000]  我們很需要
[00:00:20.000 --> 00:00:24.000]  就是能夠去認識明白神的心意
[00:00:24.000 --> 00:00:26.000]  有上帝的說話的指引
[00:00:26.000 --> 00:00:29.000]  有祂自己的靈的充滿
[00:00:29.000 --> 00:00:34.000]  叫上帝的兒女不會迷失了我們的方向
[00:00:34.000 --> 00:00:36.000]  有很多人會問
[00:00:36.000 --> 00:00:38.000]  2021年會是怎樣呢
[00:00:38.000 --> 00:00:40.000]  特別是新的一個年間
[00:00:40.000 --> 00:00:43.000]  會有不同的人
[00:00:43.000 --> 00:00:46.000]  嘗試去尋求
[00:00:46.000 --> 00:00:51.000]  究竟這個年代會有什麼新的轉變呢
[00:00:51.000 --> 00:00:56.000]  我最近在去年
[00:00:56.000 --> 00:01:00.000]  看到一本很有參考價值的書
[00:01:00.000 --> 00:01:03.000]  這本書就在商務書店
[00:01:03.000 --> 00:01:07.000]  我看到就買了回來看
[00:01:07.000 --> 00:01:11.000]  書的標題很吸引我
[00:01:11.000 --> 00:01:14.000]  它說病毒的完全的逃監
[00:01:14.000 --> 00:01:17.000]  這個作者就是
[00:01:17.000 --> 00:01:20.000]  Dr. Marilyn Rustic
[00:01:20.000 --> 00:01:25.000]  她是美國賓州大學傳染病動態中心的
[00:01:25.000 --> 00:01:27.000]  植物病理學家
[00:01:27.000 --> 00:01:31.000]  環境微生物學和生物學的教授
[00:01:31.000 --> 00:01:32.000]  獲獎無數
[00:01:32.000 --> 00:01:36.000]  她曾任美國病毒學會的顧問
[00:01:36.000 --> 00:01:39.000]  發表超過60篇科學的研究
[00:01:39.000 --> 00:01:40.000]  這本是新的書
[00:01:40.000 --> 00:01:43.000]  2020年在英國先出版
[00:01:43.000 --> 00:01:45.000]  然後在去年8月初
[00:01:45.000 --> 00:01:48.000]  在台灣出版中文翻譯本
[00:01:48.000 --> 00:01:51.000]  它的特色就是圖文並茂
[00:01:51.000 --> 00:01:57.000]  將101種病毒的構造、流行史和驚人的多樣性
[00:01:57.000 --> 00:01:59.000]  都和我們分享
[00:01:59.000 --> 00:02:03.000]  我們其實對於病毒的理解
[00:02:03.000 --> 00:02:08.000]  其實現在比以前認知多了很多
[00:02:08.000 --> 00:02:13.000]  有人會提及其實病毒都很難去定義
[00:02:13.000 --> 00:02:17.000]  因為它的多樣性實在很複雜
[00:02:17.000 --> 00:02:22.000]  這本書提供一個囊括了這麼多年代
[00:02:22.000 --> 00:02:29.000]  科學家對病毒的定義下一個非常準確的界定
[00:02:29.000 --> 00:02:31.000]  它的定義就是
[00:02:31.000 --> 00:02:35.000]  病毒是一種非細胞的病原體
[00:02:35.000 --> 00:02:40.000]  但含有核酸分子形成的遺傳物質DNA
[00:02:40.000 --> 00:02:43.000]  或者是它的親戚RNA
[00:02:43.000 --> 00:02:46.000]  通常是有蛋白質外殼包裹的
[00:02:46.000 --> 00:02:51.000]  有能力入侵宿主的細胞之後
[00:02:51.000 --> 00:02:54.000]  就取用其細胞內的機制
[00:02:54.000 --> 00:02:57.000]  指揮自己的繁殖和傳播
[00:02:57.000 --> 00:03:02.000]  我們今時今日對於病毒的認識、了解
[00:03:02.000 --> 00:03:07.000]  就知道原來很多病毒都不會致病
[00:03:07.000 --> 00:03:10.000]  但當然有些就很危險
[00:03:10.000 --> 00:03:13.000]  包括我們十多年前的SARS
[00:03:13.000 --> 00:03:16.000]  大家可能還記憶猶新
[00:03:16.000 --> 00:03:18.000]  在2003年的時候
[00:03:18.000 --> 00:03:26.000]  但是源自去年開始來傳播全球的新冠肺炎病毒
[00:03:26.000 --> 00:03:30.000]  確實現在亦都產生很多變種
[00:03:30.000 --> 00:03:34.000]  帶來其實是我們很多國家都很憂慮
[00:03:34.000 --> 00:03:36.000]  究竟怎樣去面對呢
[00:03:36.000 --> 00:03:40.000]  究竟現在生產出來的疫苗
[00:03:40.000 --> 00:03:43.000]  是否有效去面對變種的病毒呢
[00:03:43.000 --> 00:03:51.000]  我們在最近一些科學家他們發表的文章裏面
[00:03:51.000 --> 00:03:55.000]  都提及應該仍然是有效的
[00:03:55.000 --> 00:03:58.000]  大家不要太過擔心
[00:03:58.000 --> 00:04:00.000]  我們應該做好準備
[00:04:00.000 --> 00:04:03.000]  當然民間有很多不同的智慧
[00:04:03.000 --> 00:04:07.000]  我最近都聽過一些中醫的理論
[00:04:07.000 --> 00:04:12.000]  我們去年已經聽過鍾南山教授說
[00:04:12.000 --> 00:04:14.000]  我們都要曬曬太陽
[00:04:14.000 --> 00:04:17.000]  因為太陽是有維他命D的
[00:04:17.000 --> 00:04:20.000]  我最近聽到多一個資料
[00:04:20.000 --> 00:04:23.000]  他說你最好是曬曬背脊
[00:04:23.000 --> 00:04:25.000]  曬背脊曬太陽
[00:04:25.000 --> 00:04:27.000]  他說我們人體的構造
[00:04:27.000 --> 00:04:32.000]  背脊就好像一個吸收太陽能的一個機體
[00:04:32.000 --> 00:04:37.000]  他只是外部吸收了維他命D
[00:04:37.000 --> 00:04:40.000]  內部喝薑水
[00:04:40.000 --> 00:04:42.000]  這些是民間智慧
[00:04:42.000 --> 00:04:45.000]  也是中醫的一些理論
[00:04:45.000 --> 00:04:50.000]  如果你真的覺得要補充自己的維他命
[00:04:50.000 --> 00:04:54.000]  其實吃D3是正確的補充劑
[00:04:54.000 --> 00:04:59.000]  在科研裏面是有效增強你的免疫力
[00:04:59.000 --> 00:05:01.000]  去對抗新冠病毒
[00:05:01.000 --> 00:05:04.000]  在這個世代
[00:05:04.000 --> 00:05:08.000]  最近我看到影音使團的雜誌裏面說
[00:05:08.000 --> 00:05:11.000]  變種病毒下的2021
[00:05:11.000 --> 00:05:13.000]  誰主明天
[00:05:13.000 --> 00:05:15.000]  究竟新的一個年度
[00:05:15.000 --> 00:05:19.000]  究竟我們會面對一些什麼新的挑戰呢
[00:05:19.000 --> 00:05:22.000]  可能在我們的理解上
[00:05:22.000 --> 00:05:28.000]  我們仍有很多一些我們不會明白的地方
[00:05:28.000 --> 00:05:31.000]  我們看回這個圖的時候
[00:05:31.000 --> 00:05:35.000]  他亦都給了我們一個截圖
