
[00:00:00.000 --> 00:00:02.380]  好,弟兄姊妹,早晨,平安
[00:00:02.380 --> 00:00:07.460]  就是2022年,現在已經是第三個禮拜了
[00:00:07.460 --> 00:00:13.520]  但是也是第一次來到在粵語堂跟大家講道
[00:00:13.520 --> 00:00:16.760]  也就是有自己的安排
[00:00:16.760 --> 00:00:19.300]  上個禮拜我也是在英文堂那裡講道
[00:00:19.300 --> 00:00:23.740]  那麼今天講的題目平時有一點不同
[00:00:23.740 --> 00:00:25.640]  我們今天講的題目就是
[00:00:25.640 --> 00:00:27.260]  「更新我們的目標」
[00:00:27.260 --> 00:00:30.540]  不如開始之前我們再一次低頭圖稿
[00:00:30.540 --> 00:00:33.340]  天父我們感謝祢,因為祢愛我們
[00:00:33.340 --> 00:00:35.420]  祢讓我們活在世上
[00:00:35.420 --> 00:00:40.680]  不是好像浮萍一樣隨著水來飄蕩
[00:00:40.680 --> 00:00:45.160]  不是像一些風箏隨著風來蕩漾
[00:00:45.160 --> 00:00:47.560]  祢讓我們生命有所目標
[00:00:47.560 --> 00:00:51.080]  求祢帶領我們,讓我們完成祢的旨意
[00:00:51.080 --> 00:00:52.800]  跟從祢的道路
[00:00:52.800 --> 00:00:56.460]  奉耶穌基督的名祈求,阿們
[00:00:56.460 --> 00:00:58.060]  我想問一下大家
[00:00:58.060 --> 00:01:02.140]  大家手上不要看任何的東西
[00:01:02.140 --> 00:01:04.860]  就是如果我問你
[00:01:04.860 --> 00:01:09.180]  我們教會的使命宣言是什麼
[00:01:09.180 --> 00:01:12.500]  你能不能背得出來呢?
[00:01:12.500 --> 00:01:16.920]  我們教會的使命宣言
[00:01:16.920 --> 00:01:21.880]  似乎大部分的人都可能需要溫習一下
[00:01:21.880 --> 00:01:24.200]  所以在第一年新開始的時候
[00:01:24.200 --> 00:01:27.780]  我們今天就跟大家講一下我們的使命宣言
[00:01:27.780 --> 00:01:30.260]  你的筆記當然有了
[00:01:30.260 --> 00:01:33.240]  前頭那裏其實就是我們教會的標誌
[00:01:33.240 --> 00:01:34.980]  下面那裏就是我們的使命宣言
[00:01:34.980 --> 00:01:38.540]  不如我們一起再讀一次,好嗎?
[00:01:38.540 --> 00:01:43.020]  「認識神為基礎,榮耀神是目標」
[00:01:43.020 --> 00:01:48.840]  「我們藉著敬拜、團契、門徒訓練、侍奉、傳福音」
[00:01:48.840 --> 00:01:51.860]  「來認識和榮耀神」
[00:01:51.860 --> 00:01:55.440]  這個就是我們教會的使命宣言
[00:01:55.440 --> 00:02:00.720]  我發覺可能有些東西不斷不斷的來到去
[00:02:00.720 --> 00:02:02.720]  隨著時間過去
[00:02:02.720 --> 00:02:04.720]  好像即使是很重要
[00:02:04.720 --> 00:02:07.200]  都很容易來到去忘記
[00:02:07.200 --> 00:02:10.780]  所以我在每一年的時候
[00:02:10.780 --> 00:02:14.800]  我們在職員的商討的時候
[00:02:14.800 --> 00:02:17.140]  我就發覺最少一年
[00:02:17.140 --> 00:02:21.100]  應該有兩次我們要講我們的使命宣言
[00:02:21.100 --> 00:02:25.740]  因為教會如果忘記了它的使命
[00:02:25.740 --> 00:02:30.440]  很容易我們重重複複地做同樣的事情
