
[00:00:00.000 --> 00:00:01.400]  不知道大家還記不記得
[00:00:01.400 --> 00:00:02.720]  如果是在香港來的話
[00:00:02.720 --> 00:00:05.880]  在七十年代有一套電影叫做《天才與白癡》
[00:00:05.880 --> 00:00:07.120]  我很喜歡看電影的
[00:00:07.120 --> 00:00:10.960]  這套電影如果我印象沒有記錯的話
[00:00:10.960 --> 00:00:15.160]  大致上那套電影帶出來的訊息就是說
[00:00:15.160 --> 00:00:19.920]  其實有時候很困難去辨別聰明和愚蠢
[00:00:19.920 --> 00:00:21.200]  怎麼去辨別呢?
[00:00:21.200 --> 00:00:27.000]  要視乎你從哪個角度去做這個判斷
[00:00:27.000 --> 00:00:29.280]  我記得我讀輔導的時候
[00:00:29.280 --> 00:00:30.760]  老師都經常告訴我們
[00:00:30.760 --> 00:00:33.320]  千萬不要因為有些人
[00:00:33.320 --> 00:00:38.240]  他的行為和大眾不同的時候
[00:00:38.240 --> 00:00:40.160]  你就覺得他是一個不正常的人
[00:00:40.160 --> 00:00:42.680]  千萬不要有這樣的判斷
[00:00:42.680 --> 00:00:44.400]  而事實上
[00:00:44.400 --> 00:00:47.480]  大家都知道這是一個相對
[00:00:47.480 --> 00:00:50.880]  以及我們在這個社會裡面的認知是有限的
[00:00:50.880 --> 00:00:52.360]  在這樣的社會裡面
[00:00:52.360 --> 00:00:57.160]  我們憑著什麼來判斷一個人是天才還是白癡呢?
[00:00:57.160 --> 00:00:59.520]  我們剛才所讀的經文
[00:00:59.520 --> 00:01:02.960]  保羅提到愚蠢與智慧
[00:01:02.960 --> 00:01:05.080]  軟弱與剛強
[00:01:05.080 --> 00:01:08.960]  他將一個熟悉的視野
[00:01:08.960 --> 00:01:12.840]  帶我們進入一個熟齡的視野
[00:01:12.840 --> 00:01:15.720]  從一個相當不同的角度
[00:01:15.720 --> 00:01:18.160]  嘗試理解十字架的道理
[00:01:18.160 --> 00:01:20.720]  重新讓我們檢視我們自己的生命
[00:01:20.720 --> 00:01:27.240]  檢視我們用什麼方式來運作教會的事供
[00:01:27.240 --> 00:01:29.800]  當我們有不同的角度去處理的時候
[00:01:29.800 --> 00:01:33.960]  我們發覺果效是可以相當不同的
[00:01:33.960 --> 00:01:37.920]  今天嘗試和大家通過剛才所讀的經文
[00:01:37.920 --> 00:01:39.800]  大家一起思考一下
[00:01:39.800 --> 00:01:42.360]  人的智慧和神的智慧
[00:01:42.360 --> 00:01:44.120]  兩者之間有什麼分別
[00:01:44.120 --> 00:01:48.680]  以及通過當時哥倫多教會所面對的一些問題
[00:01:48.680 --> 00:01:50.520]  保羅去處理的方式
[00:01:50.520 --> 00:01:54.840]  來重新檢視一下我們今天所面對的社會和教會
[00:01:54.840 --> 00:01:56.200]  在文化上的衝擊
[00:01:56.200 --> 00:01:59.600]  以至我們可以更加彼此互相提醒
[00:01:59.600 --> 00:02:01.240]  互相勸勉
[00:02:01.240 --> 00:02:03.600]  在今天的經文裏面
[00:02:03.600 --> 00:02:06.720]  保羅提到兩種的智慧
[00:02:06.720 --> 00:02:08.120]  一種是屬天
[00:02:08.120 --> 00:02:09.560]  一種是屬地
[00:02:09.560 --> 00:02:10.960]  他也強調
[00:02:10.960 --> 00:02:12.640]  他傳福音的時候
[00:02:12.640 --> 00:02:15.880]  並不用智慧的言語
[00:02:15.880 --> 00:02:20.040]  免得基督的十字架落了空
[00:02:20.040 --> 00:02:22.880]  如果我們看第二十四節的時候
[00:02:22.880 --> 00:02:26.600]  他講到基督就是神的智慧
[00:02:26.600 --> 00:02:28.080]  所以這裡很明顯
[00:02:28.080 --> 00:02:31.680]  保羅這裡所講的智慧的言語
[00:02:31.680 --> 00:02:34.280]  就是指到人的智慧
[00:02:34.280 --> 00:02:36.160]  並不是神的智慧
[00:02:36.160 --> 00:02:38.800]  如果看第二十三節的時候
[00:02:38.800 --> 00:02:40.120]  他更加補充
[00:02:40.120 --> 00:02:42.240]  因為十字架的道理
[00:02:42.240 --> 00:02:45.040]  在猶太人來說是絆腳石
[00:02:45.040 --> 00:02:47.840]  在外邦人來說是愚拙
[00:02:47.840 --> 00:02:50.360]  我想大家想一想這句說話
[00:02:50.360 --> 00:02:52.120]  大家覺不覺得
[00:02:52.120 --> 00:02:55.680]  保羅這樣講這番說話相當奇怪
[00:02:55.680 --> 00:02:56.800]  很奇怪
[00:02:56.800 --> 00:02:58.120]  為什麼呢
[00:02:58.120 --> 00:02:59.960]  如果保羅真的知道
[00:02:59.960 --> 00:03:01.160]  十字架的道理
[00:03:01.160 --> 00:03:04.760]  在這麼難讓人相信的時候
[00:03:04.760 --> 00:03:06.560]  豈不是他的工作
[00:03:06.560 --> 00:03:07.720]  他的責任
[00:03:07.720 --> 00:03:11.520]  將十字架的道理包裝一下
[00:03:11.520 --> 00:03:14.360]  以至更加容易讓人接受嗎
[00:03:14.360 --> 00:03:19.520]  這個大家都活在一個商業社會裏面
[00:03:19.520 --> 00:03:22.040]  我們都經常遇到這樣的
[00:03:22.040 --> 00:03:24.120]  將一些要推銷的物品
[00:03:24.120 --> 00:03:25.720]  包裝一下
[00:03:25.720 --> 00:03:29.720]  用一些美化的言語來推廣
[00:03:29.720 --> 00:03:30.760]  那個產品
[00:03:30.760 --> 00:03:33.520]  豈不是更加容易推銷呢
[00:03:33.520 --> 00:03:36.480]  大家想像一下你是一個地產的經紀
[00:03:36.480 --> 00:03:39.000]  你現在帶你的人去看看你那間屋
[00:03:39.000 --> 00:03:41.120]  要賣那間屋了
[00:03:41.120 --> 00:03:44.080]  你肯定會將那間屋的好處
[00:03:44.080 --> 00:03:45.520]  包裝一下
[00:03:45.520 --> 00:03:47.360]  用一些很好聽的說話
[00:03:47.360 --> 00:03:48.960]  來賣那間屋
[00:03:48.960 --> 00:03:51.360]  又或者一些不太好的東西
[00:03:51.360 --> 00:03:52.280]  就隱藏了它
[00:03:52.280 --> 00:03:54.280]  不要提它
[00:03:54.280 --> 00:03:56.000]  就算你不說謊
[00:03:56.000 --> 00:03:58.840]  你都總是將一些很難推銷的地方
[00:03:58.840 --> 00:03:59.720]  將它包裝下去
[00:03:59.720 --> 00:04:00.960]  例如
[00:04:00.960 --> 00:04:03.280]  那間屋有條很長的樓梯上去
[00:04:03.280 --> 00:04:05.280]  那些客人就說
[00:04:05.280 --> 00:04:07.720]  那條樓梯要走這麼高的
[00:04:07.720 --> 00:04:09.160]  那你可能怎樣包裝
[00:04:09.160 --> 00:04:12.160]  上得高你的景色才漂亮
[00:04:12.160 --> 00:04:16.040]  然後另一些人說要走這麼長的樓梯下去
[00:04:16.040 --> 00:04:17.280]  才可以去到那間屋
